from,to,relation,time,duration,timespan
OlgWei,PauWei,1,1910,7,1
OlgWei,PauWei,1,1910,7,2
OlgWei,PauWei,1,1910,7,3
OlgWei,FanWei,1,1911,7,1
OlgWei,FanWei,1,1911,7,2
OlgWei,FanWei,1,1911,7,3
OlgWei,FanWei,1,1911,7,4
OlgWei,SieWei,1,1914,7,1
OlgWei,SieWei,1,1914,7,2
OlgWei,SieWei,1,1914,7,3
OlgWei,HelWei,1,1915,7,1
OlgWei,HelWei,1,1915,7,2
OlgWei,HelWei,1,1915,7,3
OlgWei,HelWei,1,1915,7,4
OlgWei,JulWei,1,1919,7,1
OlgWei,JulWei,1,1919,7,2
OlgWei,JulWei,1,1919,7,3
OlgWei,EriWin,1,99,7,99
DavWei,IsrWei,1,1908,7,1
DavWei,IsrWei,1,1908,7,2
DavWei,IsrWei,1,1908,7,3
DavWei,IsrWei,1,1908,7,4
DavWei,LuiWei,1,1908,7,1
DavWei,LuiWei,1,1908,7,2
DavWei,LuiWei,1,1908,7,3
DavWei,LuiWei,1,1908,7,4
DavWei,LydWei,1,1908,7,1
DavWei,LydWei,1,1908,7,2
DavWei,LydWei,1,1908,7,3
DavWei,LydWei,1,1908,7,4
DavWei,ClaWei,1,1908,7,1
DavWei,ClaWei,1,1908,7,2
DavWei,ClaWei,1,1908,7,3
DavWei,OlgWei,1,1908,7,1
DavWei,OlgWei,1,1908,7,2
DavWei,OlgWei,1,1908,7,3
DavWei,OlgWei,1,1908,7,4
DavWei,PauWei,1,1910,7,1
DavWei,PauWei,1,1910,7,2
DavWei,PauWei,1,1910,7,3
DavWei,FanWei,1,1911,7,1
DavWei,FanWei,1,1911,7,2
DavWei,FanWei,1,1911,7,3
DavWei,FanWei,1,1911,7,4
DavWei,SieWei,1,1914,7,1
DavWei,SieWei,1,1914,7,2
DavWei,SieWei,1,1914,7,3
DavWei,HelWei,1,1915,7,1
DavWei,HelWei,1,1915,7,2
DavWei,HelWei,1,1915,7,3
DavWei,HelWei,1,1915,7,4
DavWei,JulWei,1,1919,7,1
DavWei,JulWei,1,1919,7,2
DavWei,JulWei,1,1919,7,3
DavWei,EriWin,1,99,7,99
PauWei,IsrWei,1,1910,7,1
PauWei,IsrWei,1,1910,7,2
PauWei,IsrWei,1,1910,7,3
PauWei,LuiWei,1,1910,7,1
PauWei,LuiWei,1,1910,7,2
PauWei,LuiWei,1,1910,7,3
PauWei,LydWei,1,1910,7,1
PauWei,LydWei,1,1910,7,2
PauWei,LydWei,1,1910,7,3
PauWei,ClaWei,1,1910,7,1
PauWei,ClaWei,1,1910,7,2
PauWei,ClaWei,1,1910,7,3
PauWei,OlgWei,1,1910,7,1
PauWei,OlgWei,1,1910,7,2
PauWei,OlgWei,1,1910,7,3
PauWei,DavWei,1,1910,7,1
PauWei,DavWei,1,1910,7,2
PauWei,DavWei,1,1910,7,3
PauWei,FanWei,1,1911,7,1
PauWei,FanWei,1,1911,7,2
PauWei,FanWei,1,1911,7,3
PauWei,SieWei,1,1914,7,1
PauWei,SieWei,1,1914,7,2
PauWei,SieWei,1,1914,7,3
PauWei,HelWei,1,1915,7,1
PauWei,HelWei,1,1915,7,2
PauWei,HelWei,1,1915,7,3
PauWei,JulWei,1,1919,7,1
PauWei,JulWei,1,1919,7,2
PauWei,JulWei,1,1919,7,3
PauWei,EriWin,1,99,7,99
FanWei,IsrWei,1,1911,7,1
FanWei,IsrWei,1,1911,7,2
FanWei,IsrWei,1,1911,7,3
FanWei,IsrWei,1,1911,7,4
FanWei,LuiWei,1,1911,7,1
FanWei,LuiWei,1,1911,7,2
FanWei,LuiWei,1,1911,7,3
FanWei,LuiWei,1,1911,7,4
FanWei,LydWei,1,1911,7,1
FanWei,LydWei,1,1911,7,2
FanWei,LydWei,1,1911,7,3
FanWei,LydWei,1,1911,7,4
FanWei,ClaWei,1,1911,7,1
FanWei,ClaWei,1,1911,7,2
FanWei,ClaWei,1,1911,7,3
FanWei,OlgWei,1,1911,7,1
FanWei,OlgWei,1,1911,7,2
FanWei,OlgWei,1,1911,7,3
FanWei,OlgWei,1,1911,7,4
FanWei,DavWei,1,1911,7,1
FanWei,DavWei,1,1911,7,2
FanWei,DavWei,1,1911,7,3
FanWei,DavWei,1,1911,7,4
FanWei,PauWei,1,1911,7,1
FanWei,PauWei,1,1911,7,2
FanWei,PauWei,1,1911,7,3
FanWei,SieWei,1,1914,7,1
FanWei,SieWei,1,1914,7,2
FanWei,SieWei,1,1914,7,3
FanWei,HelWei,1,1915,7,1
FanWei,HelWei,1,1915,7,2
FanWei,HelWei,1,1915,7,3
FanWei,HelWei,1,1915,7,4
FanWei,JulWei,1,1919,7,1
FanWei,JulWei,1,1919,7,2
FanWei,JulWei,1,1919,7,3
FanWei,EriWin,1,99,7,99
SieWei,IsrWei,1,1914,7,1
SieWei,IsrWei,1,1914,7,2
SieWei,IsrWei,1,1914,7,3
SieWei,LuiWei,1,1914,7,1
SieWei,LuiWei,1,1914,7,2
SieWei,LuiWei,1,1914,7,3
SieWei,LydWei,1,1914,7,1
SieWei,LydWei,1,1914,7,2
SieWei,LydWei,1,1914,7,3
SieWei,ClaWei,1,1914,7,1
SieWei,ClaWei,1,1914,7,2
SieWei,ClaWei,1,1914,7,3
SieWei,OlgWei,1,1914,7,1
SieWei,OlgWei,1,1914,7,2
SieWei,OlgWei,1,1914,7,3
SieWei,DavWei,1,1914,7,1
SieWei,DavWei,1,1914,7,2
SieWei,DavWei,1,1914,7,3
SieWei,PauWei,1,1914,7,1
SieWei,PauWei,1,1914,7,2
SieWei,PauWei,1,1914,7,3
SieWei,FanWei,1,1914,7,1
SieWei,FanWei,1,1914,7,2
